    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
      66.1974        358.96        345.71         24.92
      66.2815        349.94        346.71         24.96
      66.3641        352.94        342.71         24.97
      66.4479        347.93        347.72         24.94
      66.5305        345.92        345.71         24.95
      66.6143        335.89        341.70         24.97
      66.6976        345.92        347.72         24.97
      66.7810        343.92        345.71         24.99
      66.8648        345.92        343.71         24.97
      66.9474        343.92        343.71         24.96
      67.0307        344.92        347.72         24.99
      67.1143        358.96        353.73         25.01
      67.1979        344.92        353.73         24.97
      67.2805        345.92        343.71         24.96
      67.3643        339.91        355.73         24.92
      67.4471        344.92        343.71         24.91
      67.5310        341.91        340.70         24.87
      67.6148        338.90        335.69         24.93
      67.6974        338.90        347.72         24.98
      67.7815        336.90        353.73         24.97
      67.8643        353.95        352.73         24.96
      67.9482        345.92        344.71         24.97
      68.0307        350.94        349.72         24.96
      68.1146        346.93        347.72         24.97
      68.1982        335.89        340.70         25.00
      68.2812        342.91        346.71         24.99
      68.3643        356.96        350.72         25.00
      68.4476        339.91        347.72         25.03
      68.5310        345.92        346.71         24.97
      68.6148        344.92        354.73         24.93
      68.6974        336.90        346.71         24.94
      68.7812        344.92        349.72         24.94
      68.8638        341.91        347.72         24.94
      68.9476        348.93        343.71         24.92
      69.0315        345.92        353.73         24.96
      69.1141        343.92        340.70         24.96
      69.1979        345.92        345.71         24.98
      69.2810        346.93        347.72         25.01
      69.3646        344.92        346.71         24.97
      69.4471        345.92        346.71         24.96
      69.5310        336.90        347.72         24.97
      69.6148        352.94        341.70         24.93
      69.6971        347.93        347.72         25.01
      69.7810        350.94        341.70         25.01
      69.8646        342.91        347.72         24.95
      69.9471        341.91        347.72         24.93
      70.0310        345.92        356.73         24.94
      70.1148        345.92        345.71         24.94
      70.1974        338.90        351.72         24.95
      70.2805        344.92        347.72         24.98
      70.3643        344.92        335.69         24.94
      70.4482        336.90        353.73         24.97
      70.5307        342.91        348.72         24.99
      70.6146        349.94        346.71         24.97
      70.6976        341.91        342.71         25.01
      70.7805        344.92        346.71         24.97
      70.8643        339.91        347.72         24.97
      70.9482        343.92        352.73         24.96
      71.0307        338.90        348.72         24.98
      71.1146        343.92        340.70         24.97
      71.1971        353.95        350.72         25.02
      71.2807        352.94        348.72         25.02
      71.3643        347.93        358.74         24.97
      71.4479        345.92        341.70         25.01
      71.5305        343.92        349.72         24.97
      71.6143        338.90        348.72         24.95
      71.6982        345.92        340.70         24.88
      71.7807        340.91        350.72         24.92
      71.8646        352.94        342.71         24.92
      71.9471        337.90        352.73         24.96
      72.0310        345.92        343.71         24.95
      72.1148        340.91        352.73         24.96
      72.1974        352.94        341.70         24.94
      72.2812        345.92        342.71         24.95
      72.3638        352.94        346.71         24.98
      72.4476        350.94        346.71         24.97
      72.5312        343.92        343.71         25.02
      72.6148        341.91        351.72         24.97
      72.6974        351.94        356.73         24.97
      72.7812        352.94        342.71         24.95
      72.8638        352.94        349.72         24.96
      72.9476        358.96        345.71         24.96
      73.0315        352.94        339.70         24.98
      73.1148        526.46        346.71         25.02
      73.1982        525.46        350.72         25.01
      73.2807        527.47        344.71         25.01
      73.3643        517.44        346.71         24.98
      73.4471        517.44        348.72         24.94
      73.5310        521.45        349.72         24.96
      73.6148        520.45        345.71         24.94
      73.6974        516.43        349.72         24.95
      73.7812        527.47        354.73         24.95
      73.8638        695.97        353.73         24.95
      73.9476        775.21        345.71         24.94
      74.0315        778.22        352.73         24.92
      74.1143        779.22        351.72         24.93
      74.1982        770.19        356.73         24.94
      74.2807        783.23        347.72         24.96
      74.3646        783.23        347.72         24.97
      74.4471        780.22        349.72         24.98
      74.5310        777.21        341.70         24.97
      74.6148        787.24        353.73         24.98
      74.6974        778.22        353.73         25.05
      74.7812        777.21        346.71         25.03
      74.8638        779.22        346.71         25.02
      74.9476        776.21        347.72         24.99
      75.0315        776.21        354.73         24.91
      75.1141        776.21        341.70         24.91
      75.1979        777.21        347.72         24.86
      75.2805        775.21        346.71         24.91
      75.3643        776.21        343.71         24.93
      75.4482        776.21        346.71         24.92
      75.5307        771.20        361.74         24.97
      75.6146        777.21        346.71         24.96
      75.6971        777.21        347.72         24.98
      75.7807        784.23        354.73         25.01
      75.8643        773.20        354.73         24.97
      75.9482        781.23        354.73         24.97
      76.0307        776.21        347.72         24.98
      76.1146        775.21        347.72         24.98
      76.1992        777.21        341.70         24.99
      76.2805        787.24        347.72         24.99
      76.3646        777.21        350.72         24.99
      76.4471        781.23        346.71         24.96
      76.5310        784.23        343.71         24.99
      76.6148        775.21        348.72         24.97
      76.6971        783.23        350.72         24.99
      76.7810        794.26        338.70         24.97
      76.8646        783.23        346.71         25.01
      76.9482        771.20        355.73         24.97
      77.0307        775.21        353.73         24.98
      77.1146        775.21        346.71         24.97
      77.1971        778.22        340.70         24.97
      77.2810        777.21        342.71         24.97
      77.3648        777.21        350.72         24.96
      77.4476        783.23        351.72         24.96
      77.5315        771.20        347.72         24.97
      77.6141        773.20        344.71         25.02
      77.6976        776.21        343.71         24.99
      77.7807        779.22        360.74         25.00
      77.8643        775.21        345.71         24.96
      77.9482        777.21        352.73         24.98
      78.0307        776.21        338.70         24.93
      78.1146        767.18        353.73         24.94
      78.1971        772.20        347.72         24.91
      78.2810        784.23        350.72         24.98
      78.3648        777.21        346.71         24.95
      78.4474        783.23        348.72         24.94
      78.5312        776.21        353.73         24.96
      78.6138        786.24        346.71         24.97
      78.6974        776.21        338.70         25.01
      78.7807        784.23        347.72         25.01
      78.8643        776.21        343.71         24.98
      78.9476        784.23        351.72         24.99
      79.0305        772.20        342.71         24.91
      79.1143        773.20        352.73         24.96
      79.1982        780.22        343.71         24.97
      79.2805        772.20        347.72         25.01
      79.3641        777.21        345.71         24.99
      79.4474        777.21        361.74         24.98
      79.5315        777.21        347.72         24.95
      79.6141        783.23        345.71         24.94
      79.6979        772.20        344.71         24.95
      79.7807        777.21        348.72         24.97
      79.8646        779.22        345.71         24.96
      79.9471        777.21        338.70         24.96
      80.0307        776.21        347.72         25.01
      80.1146        784.23        347.72         24.96
      80.1974        774.20        347.72         24.95
      80.2810        770.19        346.71         25.01
      80.3651        778.22        343.71         25.01
      80.4474        772.20        339.70         24.95
      80.5312        783.23        346.71         24.95
      80.6138        783.23        342.71         24.94
      80.6979        777.21        346.71         24.97
      80.7805        770.19        346.71         24.94
      80.8643        770.19        345.71         24.94
      80.9482        782.23        335.69         24.93
      81.0305        775.21        355.73         25.02
      81.1143        780.22        346.71         25.02
      81.1976        777.21        350.72         24.97
      81.2810        788.25        353.73         24.98
      81.3648        778.22        340.70         24.94
      81.4474        772.20        342.71         24.97
      81.5312        776.21        342.71         24.96
      81.6138        773.20        347.72         24.96
      81.6976        776.21        350.72         24.96
      81.7815        777.21        353.73         24.97
      81.8641        772.20        354.73         24.96
      81.9474        768.19        353.73         24.99
      82.0312        573.60        555.13         24.99
      82.1143        566.58        557.13         25.01
      82.1974        570.60        559.14         24.99
      82.2810        558.56        553.13         25.01
      82.3646        559.56        567.15         24.98
      82.4471        561.57        565.15         24.96
      82.5310        568.59        552.12         24.99
      82.6148        572.60        562.14         24.94
      82.6974        570.60        562.14         24.96
      82.7815        560.57        559.14         24.98
      82.8641        561.57        567.15         24.97
      82.9479        565.58        565.15         25.00
      83.0315        570.60        565.15         24.95
      83.1141        562.57        565.15         24.95
      83.1979        558.56        562.14         24.94
      83.2807        561.57        560.14         24.97
      83.3646        558.56        562.14         24.97
      83.4471        564.58        563.15         24.95
      83.5310        568.59        551.12         24.99
      83.6143        562.57        564.15         24.97
      83.6992        561.57        568.16         25.00
      83.7805        567.59        563.15         25.03
      83.8641        558.56        560.14         24.96
      83.9479        560.57        562.14         24.94
      84.0305        565.58        553.13         24.99
      84.1146        566.58        555.13         24.98
      84.1971        565.58        562.14         24.93
      84.2812        569.59        560.14         24.98
      84.3638        561.57        562.14         24.96
      84.4479        560.57        560.14         24.97
      84.5310        570.60        571.16         24.99
      84.6146        562.57        569.16         25.01
      84.6971        561.57        568.16         25.02
      84.7807        561.57        563.15         24.97
      84.8638        555.55        558.14         24.97
      84.9476        569.59        569.16         24.97
      85.0315        560.57        562.14         24.95
      85.1141        558.56        555.13         24.97
      85.1979        560.57        552.12         24.97
      85.2805        565.58        553.13         24.97
      85.3643        561.57        555.13         24.93
      85.4482        560.57        566.15         24.94
      85.5307        560.57        557.13         24.97
      85.6148        563.57        568.16         24.97
      85.6976        556.55        560.14         24.99
      85.7815        569.59        563.15         24.99
      85.8646        559.56        556.13         25.01
      85.9471        562.57        556.13         25.03
      86.0310        560.57        562.14         24.94
      86.1143        556.55        564.15         25.01
      86.1974        567.59        567.15         24.97
      86.2812        562.57        567.15         24.96
      86.3641        566.58        564.15         24.91
      86.4479        572.60        561.14         24.95
      86.5305        561.57        562.14         24.98
      86.6148        555.55        565.15         25.01
      86.6974        567.59        561.14         25.01
      86.7810        561.57        558.14         24.94
      86.8648        558.56        568.16         24.91
      86.9474        567.59        563.15         24.86
      87.0312        562.57        560.14         24.87
      87.1138        561.57        563.15         24.88
      87.1976        559.56        562.14         24.96
      87.2815        562.57        556.13         24.92
      87.3641        567.59        554.13         24.93
      87.4482        569.59        564.15         24.91
      87.5307        559.56        554.13         24.94
      87.6146        568.59        563.15         24.98
      87.6971        558.56        558.14         24.99
      87.7805        567.59        563.15         25.02
      87.8648        561.57        556.13         25.03
      87.9471        555.55        556.13         24.98
      88.0310        561.57        563.15         24.98
      88.1148        569.59        573.17         24.94
      88.1974        561.57        561.14         24.97
      88.2812        757.15        562.14         24.98
      88.3641        766.18        561.14         24.98
      88.4476        781.23        559.14         24.99
      88.5310       1003.89        561.14         24.95
      88.6148        998.88        564.15         24.97
      88.6971        992.86        559.14         25.01
      88.7807        994.86        561.14         24.99
      88.8646        993.86        565.15         24.97
      88.9471        997.87        564.15         24.93
      89.0312       1001.89        562.14         24.96
      89.1138        999.88        563.15         24.95
      89.1976       1000.88        556.13         24.97
      89.2815       1000.88        569.16         24.98
      89.3641        996.87        567.15         24.97
      89.4474       1004.89        561.14         24.99
      89.5310       1001.89        558.14         25.01
      89.6146       1003.89        563.15         25.00
      89.6982        992.86        555.13         24.97
      89.7807       1001.89        564.15         24.96
      89.8646        992.86        560.14         24.92
      89.9471        996.87        563.15         24.94
      90.0310       1005.90        561.14         24.92
      90.1138        996.87        558.14         24.94
      90.1976        999.88        557.13         24.96
      90.2812        996.87        566.15         25.01
      90.3641        992.86        562.14         25.00
      90.4471        993.86        557.13         24.96
      90.5310       1002.89        560.14         24.96
      90.6148        994.86        563.15         24.94
      90.6976       1002.89        564.15         24.91
      90.7815        996.87        556.13         24.98
      90.8643        992.86        553.13         24.99
      90.9482       1002.89        560.14         24.96
      91.0307        992.86        560.14         24.97
      91.1146        992.86        566.15         24.97
      91.1971       1003.89        567.15         24.98
      91.2805        999.88        562.14         24.97
      91.3646       1001.89        563.15         24.97
      91.4474        992.86        563.15         24.97
      91.5312        999.88        556.13         25.01
      91.6148        994.86        557.13         24.98
      91.6976        997.87        560.14         24.99
      91.7812        999.88        552.12         25.00
      91.8648        997.87        563.15         24.96
      91.9474        998.88        562.14         24.94
      92.0312        992.86        562.14         24.94
      92.1138        999.88        556.13         24.97
      92.1976        997.87        561.14         24.95
      92.2815        992.86        567.15         24.94
      92.3641       1000.88        567.15         24.94
      92.4479        991.86        556.13         24.96
      92.5315        992.86        557.13         25.01
      92.6138        994.86        561.14         24.96
      92.6974        994.86        562.14         25.03
      92.7812       1000.88        561.14         25.01
      92.8638       1000.88        562.14         24.97
      92.9476       1000.88        556.13         24.95
      93.0315        994.86        554.13         24.90
      93.1141        992.86        558.14         24.89
      93.1979        992.86        553.13         24.92
      93.2805       1002.89        562.14         24.96
      93.3643        989.85        564.15         24.99
      93.4482        998.88        559.14         24.94
      93.5307        999.88        569.16         24.98
      93.6141        991.86        556.13         24.99
      93.6982        994.86        555.13         24.98
      93.7807        991.86        563.15         24.97
      93.8643        992.86        553.13         25.01
      93.9482        996.87        557.13         25.04
      94.0307        992.86        564.15         24.97
      94.1146        999.88        560.14         24.92
      94.1971       1000.88        554.13         24.91
      94.2810        989.85        561.14         24.89
      94.3648        994.86        563.15         24.94
      94.4474       1001.89        555.13         24.96
      94.5312       1000.88        555.13         24.91
      94.6138        997.87        560.14         24.96
      94.6976        998.88        560.14         24.94
      94.7805        998.88        563.15         24.97
      94.8641        993.86        561.14         25.01
      94.9476       1004.89        564.15         24.97
      95.0315        997.87        563.15         24.98
      95.1138       1001.89        570.16         25.01
      95.1974        997.87        563.15         24.96
      95.2812        990.85        562.14         24.92
      95.3641       1001.89        554.13         24.91
      95.4479       1005.90        553.13         24.93
      95.5305       1003.89        557.13         24.93
      95.6143       1002.89        557.13         24.91
      95.6971        997.87        563.15         24.96
      95.7810        994.86        560.14         24.97
      95.8646       1005.90        554.13         25.04
      95.9471        999.88        562.14         24.96
      96.0310        997.87        554.13         24.94
      96.1148        992.86        567.15         24.92
      96.1974       1003.89        558.14         24.96
      96.2812        998.88        567.15         24.97
      96.3641        994.86        560.14         24.97
      96.4479        992.86        556.13         24.98
      96.5312       1000.88        562.14         24.97
      96.6138        998.88        560.14         24.96
      96.6979       1004.89        568.16         24.99
      96.7807       1005.90        567.15         24.98
      96.8641       1006.90        557.13         24.97
      96.9482        990.85        566.15         24.98
      97.0307        999.88        559.14         24.99
      97.1143        999.88        563.15         25.01
      97.1979        994.86        563.15         24.96
      97.2805        997.87        550.12         24.99
      97.3638       1003.89        548.12         24.99
      97.4476       1003.89        563.15         24.93
      97.5315       1003.89        561.14         24.95
      97.6141        999.88        558.14         24.87
      97.6979        990.85        552.12         24.89
      97.7805       1001.89        563.15         24.91
      97.8643       1001.89        563.15         24.95
      97.9482        995.87        567.15         24.92
      98.0307        997.87        559.14         24.96
      98.1146        997.87        559.14         24.99
      98.1979       1002.89        560.14         24.98
      98.2807        999.88        565.15         24.99
      98.3646       1001.89        573.17         24.98
      98.4471        995.87        557.13         24.96
      98.5305       1006.90        557.13         24.97
      98.6143        997.87        563.15         24.95
      98.6971        999.88        563.15         24.96
      98.7812       1001.89        557.13         25.01
      98.8648        996.87        558.14         24.98
      98.9474        996.87        566.15         25.01
      99.0310        999.88        566.15         24.97
      99.1138        993.86        568.16         24.95
      99.1976        997.87        563.15         24.94
      99.2805       1000.88        569.16         24.93
      99.3643        995.87        563.15         24.91
      99.4471        998.88        564.15         24.93
      99.5310        994.86        561.14         24.97
      99.6148        989.85        558.14         24.96
      99.6974       1003.89        562.14         24.96
      99.7812       1001.89        558.14         24.94
      99.8638        992.86        552.12         24.94
      99.9476       1003.89        560.14         24.91
     100.0312       1003.89        563.15         25.01
     100.1138        999.88        561.14         25.01
     100.1974        992.86        570.16         24.97
     100.2810       1004.89        569.16         24.98
     100.3648       1006.90        560.14         24.97
     100.4471        988.85        558.14         25.02
     100.5310       1001.89        561.14         24.96
     100.6148        779.22        775.57         24.94
     100.6976        784.23        780.58         24.92
     100.7815        776.21        790.60         24.93
     100.8641        773.20        778.58         24.92
     100.9482        781.23        778.58         24.96
     101.0312        787.24        778.58         24.97
     101.1138        784.23        775.57         24.96
     101.1976        776.21        777.57         24.91
     101.2815        782.23        781.58         24.96
     101.3641        774.20        779.58         24.96
     101.4474        788.25        778.58         25.01
     101.5307        782.23        777.57         25.05
     101.6146        774.20        781.58         25.06
     101.6982        785.24        782.58         24.97
     101.7807        777.21        773.57         24.96
     101.8646        781.23        774.57         24.92
     101.9471        787.24        778.58         24.92
     102.0310        786.24        790.60         24.94
     102.1148        777.21        771.56         24.93
     102.1974        777.21        775.57         24.99
     102.2805        783.23        773.57         24.99
     102.3646        779.22        775.57         24.98
     102.4474        780.22        783.59         24.95
     102.5312        773.20        785.59         24.93
     102.6138        781.23        785.59         24.94
     102.6976        771.20        785.59         24.94
     102.7815        773.20        781.58         24.96
     102.8643        770.19        783.59         24.95
     102.9471        777.21        774.57         24.97
     103.0310        779.22        786.59         24.95
     103.1148        772.20        781.58         24.98
     103.1971        781.23        784.59         25.01
     103.2810        777.21        782.58         25.03
     103.3646        778.22        781.58         24.97
     103.4474        770.19        779.58         24.98
     103.5312        781.23        772.56         24.91
     103.6138        775.21        785.59         24.94
     103.6979        778.22        773.57         24.94
     103.7805        777.21        777.57         24.98
     103.8641        777.21        777.57         25.00
     103.9479        777.21        778.58         24.94
     104.0305        771.20        786.59         24.96
     104.1143        777.21        774.57         24.91
     104.1982        780.22        788.60         24.90
     104.2807        776.21        784.59         24.94
     104.3648        776.21        784.59         24.87
     104.4476        781.23        784.59         24.91
     104.5305        777.21        787.59         24.91
     104.6146        784.23        785.59         24.89
     104.6976        781.23        779.58         24.92
     104.7815        774.20        774.57         24.93
     104.8641        772.20        774.57         24.91
     104.9482        777.21        776.57         24.96
     105.0310        777.21        787.59         24.96
     105.1143        769.19        778.58         24.98
     105.1982        769.19        784.59         24.93
     105.2807        773.20        782.58         24.91
     105.3646        776.21        773.57         24.94
     105.4471        780.22        779.58         24.97
     105.5310        783.23        778.58         24.97
     105.6146        779.22        782.58         25.01
     105.6976        779.22        784.59         24.98
     105.7815        772.20        785.59         24.96
     105.8641        779.22        777.57         24.97
     105.9479        775.21        781.58         24.99
     106.0305        785.24        787.59         24.98
     106.1143        775.21        782.58         24.97
     106.1974        770.19        778.58         25.02
     106.2810        772.20        780.58         24.96
     106.3646        783.23        773.57         25.01
     106.4479        786.24        777.57         24.97
     106.5315        769.19        781.58         25.03
     106.6138        776.21        785.59         24.96
     106.6982        772.20        780.58         24.87
     106.7810        783.23        771.56         24.88
     106.8648        783.23        778.58         24.92
     106.9474        777.21        778.58         24.91
     107.0315        777.21        781.58         24.94
     107.1143        780.22        774.57         24.92
     107.1971        780.22        777.57         24.99
     107.2805        779.22        782.58         24.97
     107.3643        771.20        790.60         24.96
     107.4482        776.21        785.59         24.97
     107.5307        767.18        786.59         25.01
     107.6143        784.23        777.57         24.96
     107.6982        774.20        777.57         24.97
     107.7807        784.23        777.57         24.96
     107.8648        781.23        777.57         24.97
     107.9476        776.21        785.59         24.97
     108.0312        776.21        776.57         25.01
     108.1143        777.21        778.58         24.98
     108.1982        779.22        770.56         25.01
     108.2807        774.20        780.58         24.96
     108.3646        775.21        776.57         24.97
     108.4482        772.20        780.58         25.01
     108.5307        783.23        775.57         24.97
     108.6146        787.24        779.58         24.96
     108.6974        781.23        773.57         24.91
     108.7812        777.21        785.59         24.95
     108.8638        777.21        776.57         24.92
     108.9482        779.22        778.58         24.95
     109.0307        786.24        778.58         24.96
     109.1146        781.23        773.57         24.96
     109.1974        769.19        778.58         24.97
     109.2815        776.21        782.58         24.96
     109.3641        785.24        784.59         24.96
     109.4479        784.23        784.59         24.97
     109.5305        783.23        774.57         24.96
     109.6146        775.21        778.58         24.97
     109.6974        781.23        774.57         24.99
     109.7815        774.20        784.59         24.99
     109.8643        779.22        783.59         24.98
     109.9482        778.22        778.58         25.02
     110.0310        776.21        779.58         25.07
     110.1148        769.19        774.57         25.05
     110.1971        777.21        778.58         24.99
     110.2812        786.24        778.58         24.96
     110.3638        778.22        783.59         24.92
     110.4479        776.21        779.58         24.92
     110.5310        777.21        773.57         24.91
     110.6148        775.21        780.58         24.92
     110.6974        773.20        777.57         24.94
     110.7815        772.20        777.57         24.92
     110.8643        777.21        783.59         24.91
     110.9471        783.23        773.57         24.91
     111.0312        777.21        782.58         24.92
     111.1141        783.23        777.57         24.91
     111.1979        781.23        776.57         24.92
     111.2815        791.26        785.59         25.01
     111.3641        777.21        777.57         24.97
     111.4476        769.19        781.58         25.01
     111.5312        782.23        780.58         24.97
     111.6138        777.21        781.58         24.96
     111.6976        780.22        786.59         24.97
     111.7815        775.21        777.57         25.01
     111.8638        784.23        781.58         24.98
     111.9476        769.19        775.57         24.97
     112.0315        788.25        779.58         25.00
     112.1146        774.20        790.60         25.01
     112.1982        779.22        778.58         24.97
     112.2810        783.23        773.57         24.96
     112.3646        777.21        784.59         25.06
     112.4474        777.21        774.57         25.03
     112.5310        777.21        777.57         24.98
     112.6146        781.23        780.58         24.91
     112.6971        988.85        788.60         24.94
     112.7812       1003.89        775.57         24.87
     112.8641       1480.32        780.58         24.94
     112.9479       1485.33        776.57         24.92
     113.0305       1490.35        773.57         24.95
     113.1146       1527.46        781.58         24.93
     113.1974       1532.47        777.57         24.92
     113.2812       1522.44        779.58         24.91
     113.3638       1538.49        779.58         24.96
     113.4479       1540.50        779.58         24.91
     113.5307       1527.46        776.57         24.94
     113.6148       1523.45        782.58         24.93
     113.6979       1527.46        777.57         24.93
     113.7810       1524.45        778.58         24.94
     113.8646       1534.48        779.58         24.96
     113.9479       1529.46        780.58         24.98
     114.0312       1527.46        778.58         25.01
     114.1141       1535.48        784.59         24.94
     114.1971       1535.48        782.58         24.92
     114.2815       1530.47        784.59         24.92
     114.3646       1529.46        776.57         24.96
     114.4476       1522.44        773.57         24.95
     114.5307       1537.49        773.57         24.96
     114.6138       1523.45        775.57         24.98
     114.6979       1537.49        783.59         25.01
       0.0409       1534.48        778.58         24.95
       0.1248       1530.47        782.58         24.96
       0.2073       1527.46        788.60         24.97
       0.2912       1534.48        783.59         24.96
       0.3750       1527.46        782.58         24.98
       0.4573       1531.47        784.59         24.98
       0.5412       1536.48        779.58         24.98
       0.6242       1531.47        780.58         25.00
       0.7081       1537.49        787.59         24.99
       0.7906       1526.45        785.59         24.99
       0.8742       1535.48        779.58         24.96
       0.9581       1528.46        782.58         24.96
       1.0406       1533.48        773.57         24.94
       1.1245       1527.46        776.57         24.96
       1.2083       1522.44        778.58         24.95
       1.2909       1522.44        776.57         24.97
       1.3748       1536.48        788.60         24.96
       1.4573       1538.49        786.59         24.92
       1.5412       1536.48        778.58         24.97
       1.6248       1534.48        777.57         25.01
       1.7073       1531.47        781.58         25.05
       1.7909       1529.46        780.58         24.96
       1.8748       1522.44        777.57         24.93
       1.9573       1527.46        778.58         24.92
       2.0412       1530.47        784.59         24.90
       2.1250       1531.47        779.58         24.95
       2.2078       1535.48        778.58         24.94
       2.2917       1530.47        775.57         24.94
       2.3742       1530.47        781.58         24.95
       2.4581       1541.50        777.57         24.96
       2.5406       1526.45        773.57         24.96
       2.6240       1534.48        783.59         25.01
       2.7073       1522.44        781.58         24.98
       2.7912       1522.44        773.57         24.92
       2.8750       1530.47        777.57         24.94
       2.9576       1525.45        777.57         24.97
       3.0412       1528.46        783.59         25.01
       3.1242       1533.48        788.60         24.98
       3.2076       1533.48        778.58         24.98
       3.2914       1533.48        778.58         24.95
       3.3740       1530.47        782.58         24.96
       3.4578       1526.45        778.58         24.92
       3.5406       1525.45        774.57         24.95
       3.6245       1536.48        773.57         24.98
       3.7073       1531.47        779.58         24.97
       3.7912       1527.46        777.57         24.99
       3.8748       1534.48        778.58         25.03
       3.9583       1522.44        782.58         24.97
       4.0409       1533.48        769.56         24.95
       4.1250       1530.47        775.57         24.92
       4.2076       1527.46        778.58         24.93
       4.2914       1531.47        778.58         24.93
       4.3740       1537.49        779.58         24.97
       4.4578       1528.46        773.57         24.94
       4.5406       1522.44        791.60         24.96
       4.6245       1535.48        777.57         24.97
       4.7081       1536.48        788.60         25.00
       4.7914       1532.47        782.58         24.99
       4.8740       1533.48        792.60         24.95
       4.9578       1531.47        784.59         24.95
       5.0417       1529.46        784.59         24.94
       5.1245       1537.49        777.57         24.97
       5.2083       1154.34       1151.32         24.98
       5.2906       1154.34       1151.32         25.01
       5.3742       1158.35       1157.33         24.96
       5.4581       1152.34       1153.32         24.96
       5.5406       1152.34       1161.34         24.94
       5.6245       1159.36       1152.32         24.96
       5.7083       1162.37       1158.33         24.97
       5.7909       1150.33       1149.32         24.96
       5.8748       1157.35       1158.33         24.97
       5.9576       1163.37       1160.34         24.97
       6.0417       1162.37       1158.33         24.99
       6.1242       1155.34       1150.32         24.97
       6.2081       1152.34       1155.33         24.96
       6.2917       1159.36       1153.32         24.96
       6.3745       1157.35       1163.34         25.04
       6.4576       1160.36       1161.34         25.01
       6.5417       1150.33       1152.32         24.94
       6.6242       1153.34       1160.34         24.94
       6.7081       1148.32       1151.32         24.94
       6.7906       1160.36       1154.33         24.97
       6.8745       1157.35       1163.34         24.96
       6.9583       1159.36       1150.32         24.94
       7.0409       1154.34       1159.34         24.93
       7.1248       1161.36       1157.33         24.94
       7.2073       1155.34       1155.33         24.95
       7.2906       1159.36       1162.34         24.98
       7.3745       1157.35       1158.33         24.97
       7.4583       1155.34       1163.34         24.98
       7.5412       1148.32       1153.32         24.99
       7.6250       1158.35       1150.32         24.97
       7.7081       1154.34       1157.33         25.00
       7.7912       1152.34       1155.33         24.98
       7.8742       1152.34       1156.33         25.00
       7.9581       1150.33       1152.32         24.98
       8.0417       1148.32       1165.35         25.01
       8.1240       1164.37       1163.34         24.96
       8.2076       1146.32       1159.34         24.94
       8.2914       1159.36       1156.33         24.96
       8.3740       1156.35       1156.33         24.98
       8.4578       1161.36       1161.34         24.95
       8.5406       1148.32       1160.34         24.97
       8.6242       1151.33       1151.32         25.00
       8.7073       1154.34       1162.34         24.98
       8.7912       1161.36       1155.33         25.02
       8.8750       1155.34       1161.34         25.01
       8.9573       1149.33       1147.31         24.97
       9.0412       1154.34       1162.34         24.96
       9.1240       1159.36       1149.32         24.94
       9.2078       1160.36       1154.33         24.92
       9.2917       1162.37       1156.33         24.90
       9.3742       1151.33       1144.31         24.91
       9.4583       1147.32       1152.32         24.96
       9.5412       1155.34       1146.31         24.97
       9.6250       1146.32       1158.33         24.99
       9.7073       1157.35       1165.35         25.01
       9.7909       1156.35       1168.35         24.97
       9.8750       1159.36       1152.32         24.98
       9.9573       1154.34       1153.32         25.02
      10.0409       1161.36       1152.32         24.96
      10.1248       1165.37       1157.33         24.98
      10.2073       1147.32       1163.34         24.98
      10.2912       1159.36       1160.34         24.98
      10.3750       1155.34       1151.32         24.94
      10.4576       1150.33       1155.33         24.97
      10.5414       1854.44       1152.32         24.98
      10.6240       1945.71       1163.34         25.03
      10.7078       1943.70       1156.33         25.08
      10.7914       1951.73       1152.32         24.97
      10.8740       2014.92       1158.33         24.94
      10.9578       2014.92       1152.32         24.87
      11.0417       2010.90       1158.33         24.92
      11.1245       2009.90       1157.33         24.90
      11.2083       2005.89       1156.33         24.96
      11.2909       2007.89       1161.34         24.93
      11.3748       2011.91       1153.32         24.95
      11.4573       2012.91       1151.32         24.95
      11.5412       2005.89       1151.32         24.93
      11.6250       2009.90       1159.34         24.98
      11.7081       2004.89       1152.32         25.01
      11.7917       2007.89       1167.35         25.01
      11.8740       2009.90       1151.32         24.97
      11.9581       2014.92       1158.33         24.96
      12.0409       2016.92       1153.32         24.94
      12.1248       2017.92       1162.34         24.95
      12.2076       2008.90       1159.34         24.95
      12.2914       2012.91       1160.34         24.96
      12.3742       2009.90       1161.34         24.97
      12.4581       2009.90       1156.33         24.97
      12.5417       2007.89       1167.35         25.05
      12.6242       2014.92       1164.35         25.01
      12.7081       2008.90       1163.34         24.98
      12.7906       2002.88       1149.32         24.95
      12.8745       2017.92       1158.33         24.93
      12.9583       2007.89       1156.33         24.94
      13.0409       2012.91       1153.32         24.95
      13.1248       2012.91       1157.33         24.95
      13.2073       2003.88       1148.31         24.97
      13.2912       2012.91       1157.33         24.97
      13.3748       2015.92       1148.31         25.01
      13.4573       2007.89       1150.32         25.00
      13.5409       2012.91       1158.33         24.93
      13.6248       2004.89       1155.33         24.94
      13.7073       2009.90       1159.34         24.91
      13.7912       2018.93       1157.33         24.92
      13.8740       2002.88       1160.34         24.94
      13.9578       2009.90       1160.34         24.91
      14.0417       2009.90       1151.32         24.92
      14.1242       2006.89       1161.34         24.96
      14.2081       2014.92       1155.33         24.98
      14.2906       2012.91       1159.34         24.98
      14.3748       2004.89       1159.34         24.97
